name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
P. Esquivel,24,59,64,2K,1435,Right,1,2,2,ST,5'9,154lbs,373K
S. Mandash,23,59,65,3K,1466,Right,1,4,3,RM,5'6,139lbs,389K
A. Abdellaoui,25,59,64,4K,1481,Left,1,2,2,LB,6'1,165lbs,259K
D. Bajselmani,19,59,70,1K,1506,Right,1,2,2,RB,5'10,181lbs,363K
E. Ferigra,19,59,72,2K,1342,Right,1,2,2,CB,6'2,172lbs,605K
J. Turley,28,59,59,3K,1402,Right,1,3,2,RCB,6'1,176lbs,228K
A. Barreal,17,59,73,1K,1455,Left,1,3,2,RW,5'8,146lbs,638K
F. Pasqualoni,21,59,68,1K,1301,Right,1,2,2,CB,6'2,176lbs,368K
L. Tempelmann,19,59,75,2K,1527,Right,1,3,3,CM,5'9,163lbs,788K
Ahn Seong Nam,34,59,59,1K,1757,Right,1,3,2,CDM,5'9,150lbs,63K
Kang Bong Gyun,24,59,64,1K,853,Right,1,1,1,GK,6'2,165lbs,199K
D. García,21,59,68,2K,1411,Right,1,3,2,ST,5'7,152lbs,408K
T. Rotter,26,59,61,1K,1351,Right,1,2,2,RCB,6'2,174lbs,244K
M. Kadlec,18,59,75,1K,1456,Right,1,3,3,CAM,6'0,154lbs,674K
S. Serderov,24,59,65,1K,1525,Right,1,4,2,LM,5'9,154lbs,326K
A. Jędrych,26,59,64,1K,1335,Right,1,2,2,RCB,6'2,185lbs,242K
J. Muscatt,20,59,69,1K,1470,Left,1,2,2,LB,5'10,143lbs,462K
M. Daly,17,59,80,3K,1602,Right,1,3,2,CM,5'9,165lbs,943K
T. De Bie,21,59,67,1K,1032,Right,1,3,1,GK,6'0,170lbs,289K
E. Elizalde,18,59,79,1K,1405,Left,1,2,2,LB,5'10,172lbs,740K
G. León,18,59,74,2K,1410,Right,1,4,2,ST,5'9,134lbs,756K
S. Çetin,17,59,80,2K,1660,Right,1,3,3,CDM,5'9,154lbs,810K
A. Urzi,18,59,76,1K,1436,Right,1,2,2,RM,5'6,141lbs,691K
J. Dunleavy,26,59,59,1K,1524,Right,1,4,2,RB,6'0,157lbs,202K
A. Al Saluli,19,59,74,2K,1414,Right,1,3,2,CB,6'5,176lbs,698K
K. Chvedukas,27,59,60,1K,1564,Right,1,3,2,CDM,5'9,152lbs,244K
A. Al Dawsari,20,59,69,3K,1486,Right,1,3,2,CDM,5'10,152lbs,418K
E. Korkmaz,21,59,68,1K,1415,Right,1,3,2,CB,5'11,165lbs,347K
J. Galetto,21,59,68,2K,1479,Right,1,2,2,RB,5'10,154lbs,347K
S. Russell,35,59,59,1K,1171,Right,1,3,1,GK,6'0,154lbs,70K
O. Sail,22,59,67,1K,1045,Right,1,2,1,GK,6'4,176lbs,247K
M. Hudson,19,59,65,1K,1061,Right,1,3,1,GK,6'4,165lbs,
N. Bizet,21,59,69,1K,1372,Right,1,3,2,ST,6'3,179lbs,520K
Madger Gomes,21,59,70,1K,1516,Left,1,3,2,LCM,5'11,163lbs,527K
Iker Goujón,18,59,75,1K,1608,Right,1,3,2,CM,5'8,148lbs,707K
F. Bin Jamayah,23,59,68,5K,1505,Right,1,3,2,RM,5'9,134lbs,456K
N. Anderton,22,59,69,1K,1431,Left,1,2,2,LB,6'2,174lbs,
C. Storm,23,59,66,1K,1491,Right,1,3,2,RB,5'10,165lbs,306K
J. Bruhns,19,59,71,1K,1019,Right,1,3,1,GK,6'2,165lbs,347K
E. Ybáñez,19,59,70,1K,1484,Left,1,3,2,LB,5'8,148lbs,363K
E. Karic,21,59,66,1K,1500,Left,1,3,2,LB,6'1,179lbs,314K
L. Ridehalgh,27,59,60,2K,1620,Left,1,3,2,LB,5'10,159lbs,256K
J. Bolado,20,59,69,1K,878,Right,1,3,1,GK,6'0,179lbs,314K
A. Riemann,26,59,59,1K,1635,Left,1,4,2,LM,6'0,172lbs,247K
A. Gogić,24,59,66,1K,1540,Right,1,3,2,CB,6'1,183lbs,371K
L. Béland-Goyette,22,59,64,1K,1644,Right,1,2,2,CM,5'10,150lbs,315K
E. Pálsson,25,59,64,1K,1572,Right,1,4,2,RDM,6'1,179lbs,225K
Lee Tae Hee,26,59,59,1K,1545,Right,1,3,2,RB,6'0,165lbs,163K
K. Yajima,23,59,67,2K,1478,Right,1,3,2,ST,6'1,172lbs,334K
M. Hoxha,18,59,72,1K,1491,Right,1,4,2,CAM,5'9,163lbs,595K
K. McFarlane,21,59,68,3K,1426,Right,1,3,2,ST,5'11,163lbs,504K
F. Rieder,22,59,66,2K,1540,Right,1,3,2,CM,5'9,152lbs,363K
C. Kpekawa,22,59,69,1K,1573,Left,1,3,2,CB,6'3,176lbs,429K
C. Tiéhi,20,59,76,1K,1526,Right,1,3,2,CDM,5'10,172lbs,713K
J. Flatt,23,59,66,1K,910,Right,1,3,1,GK,6'3,194lbs,312K
T. Matthews,17,59,79,3K,1458,Left,1,4,3,CAM,5'9,154lbs,810K
J. Hodgkiss,31,59,59,2K,1441,Right,1,3,2,RB,5'6,157lbs,175K
C. Arroyave,22,59,67,1K,874,Right,1,2,1,GK,6'0,170lbs,264K
J. Heil,21,59,66,1K,1560,Right,1,3,3,RM,5'9,154lbs,363K
A. Jakubiak,21,59,69,1K,1444,Right,1,3,2,ST,5'10,146lbs,507K
K. Reaves,22,59,68,1K,1320,Right,1,2,2,CB,6'2,161lbs,357K
V. Baume,21,59,68,1K,1050,Right,1,1,1,GK,6'1,170lbs,306K
R. Morishita,19,59,68,1K,1387,Left,1,3,2,CB,5'11,150lbs,290K
A. Awad,26,59,62,1K,1487,Left,1,3,2,RS,6'0,163lbs,265K
A. Al Shamrani,24,59,63,3K,1388,Right,1,3,2,CB,5'9,143lbs,302K
G. Azzinnari,17,59,83,1K,1471,Right,1,2,2,ST,5'10,146lbs,893K
O. Drost,22,59,66,2K,1498,Right,1,3,3,LS,6'2,161lbs,435K
J. Caprice,25,59,62,2K,1596,Right,1,3,2,RB,5'10,161lbs,292K
Zhang Lu,30,59,59,2K,1629,Right,1,3,2,RM,5'11,163lbs,323K
A. Mendy,23,59,65,1K,1448,Left,1,2,2,LB,5'11,165lbs,351K
G. Blackwood,21,59,65,1K,1422,Right,1,2,2,ST,6'2,163lbs,319K
M. Johansson,19,59,72,1K,1047,Right,1,2,1,GK,6'4,176lbs,
J. Hanato,28,59,59,1K,1543,Left,1,3,3,CF,5'10,146lbs,200K
M. Clark,19,59,69,1K,1485,Right,1,2,2,LB,5'8,150lbs,
B. Mines,18,59,78,1K,1532,Right,1,3,2,RM,5'9,150lbs,691K
Kwon Tae Ahn,26,59,63,1K,997,Right,1,3,1,GK,6'3,192lbs,186K
C. Baker-Richardson,22,59,67,4K,1306,Right,1,3,2,ST,6'1,161lbs,483K
B. Varga,24,59,64,3K,1403,Right,1,3,2,RW,5'10,163lbs,320K
S. Akgün,18,59,78,1K,1567,Left,1,3,2,CM,5'9,165lbs,837K
S. Long,23,59,65,2K,1454,Right,1,3,2,RB,5'10,154lbs,351K
M. Folivi,20,59,74,6K,1380,Right,1,3,2,ST,5'9,174lbs,884K
M. Rayman,21,59,69,3K,1503,Right,1,4,2,LB,5'9,143lbs,418K
B. Thomas-Asante,19,59,74,1K,1474,Right,1,4,3,LM,5'9,163lbs,772K
Y. Begraoui,16,59,81,1K,1434,Right,1,5,2,ST,5'9,137lbs,980K
A. Fleming,30,59,59,2K,1614,Right,1,3,2,CM,5'11,148lbs,245K
Guille Lara,22,59,71,1K,1059,Left,1,3,1,GK,6'0,174lbs,385K
W. Wood,21,59,69,1K,1531,Left,1,2,2,LB,5'9,148lbs,429K
F. Ghazi,24,59,66,4K,1428,Left,1,3,2,LB,5'10,154lbs,333K
N. Córdova,20,59,73,1K,1441,Right,1,2,2,RB,5'8,154lbs,593K
Jin Pengxiang,28,59,59,3K,1532,Right,1,3,2,RB,6'2,170lbs,
Kim Bo Seop,20,59,71,1K,1498,Right,1,3,2,LW,6'0,161lbs,406K
S. Acka,27,59,61,2K,1336,Right,1,2,2,CB,6'0,176lbs,304K
E. Celebi,18,59,74,1K,1331,Right,1,4,2,CB,6'0,150lbs,703K
E. Dabo,22,59,66,1K,1569,Right,1,3,2,CB,5'11,157lbs,371K
Mello,25,59,62,1K,1465,Left,1,3,2,LM,5'9,157lbs,214K
Yang Boyu,29,59,59,3K,1279,Right,1,3,2,CB,6'1,179lbs,258K
A. Collins,21,59,67,2K,1446,Right,1,3,2,ST,6'1,163lbs,449K
P. Kasim,21,59,70,1K,1474,Left,1,3,3,LM,5'9,154lbs,392K
T. Abdullah,22,59,68,4K,1462,Right,1,3,2,RB,5'7,141lbs,380K
M. Crocombe,24,59,63,0,1134,Right,1,2,1,GK,6'4,194lbs,
E. Næsbak Brenden,24,59,63,1K,1542,Right,1,4,2,LM,5'11,159lbs,265K
J. O'Doherty,20,59,66,1K,1687,Right,1,3,2,LCM,5'6,137lbs,319K
Fernando Costanza,19,59,74,2K,1466,Right,1,3,2,RB,6'0,161lbs,788K
M. Acton,26,59,63,1K,1026,Right,1,2,1,GK,6'0,187lbs,186K
F. Lobos,19,59,74,1K,1330,Right,1,4,3,ST,5'11,172lbs,658K
K. Tokushige,34,59,59,1K,899,Right,1,3,1,GK,6'2,192lbs,75K
J. Serafin,22,59,66,1K,1585,Right,1,3,2,CM,5'11,152lbs,341K
N. Sutter,23,59,67,2K,1576,Right,1,3,2,CB,6'0,161lbs,330K
C. O'Hare,20,59,74,2K,1403,Right,1,3,3,CAM,5'8,143lbs,884K
M. Carreazo,20,59,69,1K,1559,Right,1,3,2,CM,5'9,137lbs,388K
R. Aoki,22,59,70,1K,1434,Left,1,3,2,LW,5'8,143lbs,392K
F. Camara,20,59,68,1K,1479,Left,1,2,2,LB,5'6,141lbs,410K
N. Trott,19,59,76,2K,942,Left,1,3,1,GK,6'0,154lbs,707K
I. Boye,21,59,67,1K,1363,Right,1,3,2,ST,6'2,181lbs,334K
Y. Goke,19,59,72,1K,1577,Right,1,3,2,CM,6'0,163lbs,544K
Wang Qiuming,25,59,61,2K,1658,Right,1,3,2,LM,5'8,141lbs,423K
H. Sandvik,28,59,61,1K,1100,Right,1,3,1,GK,6'0,165lbs,172K
Park Jung Soo,31,59,59,1K,1555,Right,1,2,2,RDM,5'11,163lbs,163K
M. Vano,26,59,60,1K,1343,Right,1,3,2,ST,6'3,194lbs,309K
M. Rieder,18,59,74,1K,1522,Right,1,3,2,CAM,5'9,157lbs,691K
J. Hooper,24,59,64,2K,1504,Right,1,3,3,ST,6'1,183lbs,383K
Sun Bo,27,59,59,2K,1530,Left,1,3,2,LM,5'11,159lbs,344K
L. Hupfauf,21,59,66,1K,1542,Right,1,3,2,RWB,5'9,161lbs,314K
Mollejo,17,59,79,4K,1480,Left,1,3,3,RW,5'9,141lbs,915K
V. Oliver,26,59,60,2K,1523,Right,1,2,2,ST,6'2,172lbs,347K
M. Kuchta,22,59,68,1K,1024,Right,1,2,1,GK,6'2,161lbs,279K
Cao Haiqing,24,59,62,2K,1541,Right,1,3,2,LB,5'9,152lbs,356K
A. Banasiak,28,59,59,1K,1713,Left,1,3,2,LDM,6'1,168lbs,176K
Pedro Goulart,20,59,70,1K,1388,Right,1,3,2,ST,5'11,168lbs,513K
Song Long,28,59,59,3K,1436,Right,1,3,2,RB,6'0,152lbs,258K
J. Lahne,16,59,77,1K,1640,Right,1,3,2,ST,5'7,150lbs,563K
M. García,22,59,66,2K,1573,Right,1,3,2,CM,5'10,165lbs,374K
R. McKenzie,19,59,74,2K,1524,Right,1,2,2,CB,6'0,174lbs,758K
D. Franke,19,59,76,2K,1516,Left,1,3,2,LB,6'0,161lbs,698K
M. Cavalleri,20,59,69,1K,1422,Right,1,3,2,ST,5'6,139lbs,403K
A. Beyazıt,21,59,68,1K,1543,Right,1,4,3,CF,6'0,163lbs,396K
A. Grijalva,17,59,73,2K,1332,Right,1,2,2,CB,5'10,121lbs,651K
D. Klomp,19,59,69,1K,1351,Right,1,3,2,RCB,6'2,181lbs,347K
J. Keatings,26,59,62,1K,1564,Right,1,3,2,CAM,5'10,154lbs,365K
P. Di Nardo,28,59,60,1K,1547,Right,1,3,2,RDM,5'9,157lbs,214K
A. Baroan,18,59,75,1K,1521,Left,1,3,2,ST,6'2,172lbs,772K
C. Lattanzio,20,59,70,2K,1509,Left,1,3,2,LM,5'7,141lbs,459K
M. Candlin,18,59,75,1K,1499,Right,1,3,2,ST,6'0,163lbs,
R. Menayese,20,59,65,1K,1307,Right,1,3,2,CB,6'3,176lbs,351K
J. Thompson,21,59,73,1K,1561,Left,1,3,3,CAM,5'9,154lbs,831K
H. Smith,23,59,66,2K,1380,Right,1,3,2,ST,6'2,187lbs,429K
Liu Ruofan,19,59,79,1K,1450,Right,1,4,2,RM,6'2,165lbs,1M
D. Jajic,19,59,69,1K,1643,Right,1,3,2,CM,5'9,154lbs,348K
L. Fesser,23,59,65,2K,1256,Right,1,2,2,CB,6'4,174lbs,315K
J. Brown,20,59,69,2K,1495,Right,1,3,2,RB,5'10,174lbs,
M. Nilor,20,59,71,4K,1393,Right,1,2,2,ST,5'11,176lbs,588K
I. Mensah,23,59,67,1K,1535,Right,1,2,2,LW,5'11,165lbs,334K
V. Fernández,19,59,73,1K,1512,Left,1,3,2,LB,5'11,146lbs,
D. Richards,24,59,65,2K,972,Right,1,2,1,GK,5'11,172lbs,312K
H. Castegren,22,59,69,1K,1326,Right,1,3,2,CB,6'0,181lbs,319K
I. Oda,19,59,74,1K,1356,Right,1,4,2,LB,5'8,150lbs,578K
L. Cacace,17,59,73,1K,1553,Right,1,3,2,LWB,5'7,146lbs,506K
E. Veiga,21,59,69,1K,1498,Left,1,3,2,CDM,6'0,159lbs,363K
R. Cornwall,23,59,64,1K,1385,Right,1,2,2,RCB,6'0,190lbs,293K
J. Mbom,18,59,78,2K,1549,Right,1,3,3,CM,5'10,163lbs,756K
S. van Dijck,17,59,72,1K,1319,Right,1,3,2,CB,6'4,176lbs,477K
D. Gremsl,25,59,62,1K,1532,Right,1,3,2,CF,5'7,143lbs,305K
M. Bevan,21,59,69,0,1443,Right,1,3,2,ST,6'0,170lbs,
S. Friede,20,59,75,3K,1655,Right,1,3,3,CM,6'0,183lbs,814K
A. Guiffrey,20,59,70,2K,1449,Right,1,3,2,RM,5'9,152lbs,446K
M. Sætra,21,58,64,1K,1020,Right,1,3,1,GK,6'6,172lbs,189K
H. Magnetti,20,58,68,1K,1584,Left,1,3,2,CM,5'8,159lbs,390K
S. Abraham,27,58,59,1K,1452,Left,1,3,2,ST,5'10,163lbs,199K
G. Buon,20,58,68,1K,1364,Right,1,3,2,CB,6'1,174lbs,351K
D. Morrissey,24,58,62,1K,1472,Right,1,3,2,ST,5'10,157lbs,276K
G. Akkan,19,58,75,1K,1303,Right,1,3,2,CB,5'10,154lbs,656K
L. Espinoza,25,58,60,1K,1401,Right,1,3,2,ST,5'11,181lbs,228K
J. Requena,22,58,69,1K,1453,Right,1,3,3,CAM,5'9,168lbs,341K
C. Mbulu,21,58,69,1K,1267,Right,1,3,2,CB,6'2,190lbs,371K
G. Cuomo,20,58,72,1K,1203,Right,1,2,2,LCB,6'3,174lbs,556K
A. Gürleyen,19,58,75,1K,1395,Right,1,3,2,CB,6'4,198lbs,606K
L. Jones,22,58,65,1K,1273,Right,1,2,2,CB,6'3,165lbs,293K
R. Gondoh,21,58,65,2K,1630,Left,1,3,2,RM,6'0,165lbs,351K
N. Hunziker,22,58,69,2K,1458,Right,1,2,2,ST,5'11,165lbs,363K
T. Reithmeir,18,58,75,1K,1266,Right,1,3,2,CB,6'3,192lbs,522K
L. Barreiro Martins,18,58,76,2K,1568,Right,1,3,2,CM,5'9,143lbs,631K
J. Clarke,28,58,58,2K,1525,Right,1,3,2,RB,6'0,185lbs,175K
Zheng Tao,32,58,58,1K,1385,Right,1,3,2,RB,6'0,165lbs,151K
M. Guehi,17,58,78,4K,1329,Right,1,2,2,CB,6'0,165lbs,656K
R. Prieto,21,58,68,1K,1455,Right,1,2,2,CAM,5'7,134lbs,389K
I. Meite,21,58,68,5K,1313,Left,1,2,2,ST,6'2,159lbs,462K
A. Amade,18,58,77,2K,1459,Right,1,3,2,RWB,5'7,139lbs,535K
L. Krüger,18,58,72,3K,1379,Right,1,3,2,ST,6'2,170lbs,605K
K. Balogiannis,19,58,74,1K,1532,Left,1,3,2,CDM,5'10,157lbs,681K
F. Due,25,58,61,1K,999,Left,1,2,1,GK,6'2,183lbs,146K
L. Saxton,28,58,59,1K,943,Right,1,2,1,GK,6'3,194lbs,133K
C. James,20,58,72,2K,1465,Right,1,3,2,CB,6'0,168lbs,594K
M. Rafique,25,58,61,0,1592,Right,1,3,2,CM,5'8,148lbs,
P. Cherrie,34,58,58,1K,977,Right,1,3,1,GK,6'2,168lbs,78K
E. Stokes,22,58,69,1K,1437,Left,1,3,3,ST,5'8,154lbs,385K
S. Al Hamdan,26,58,59,2K,1375,Left,1,3,2,LB,5'8,137lbs,207K
C. Moya,20,58,73,1K,1511,Right,1,3,2,RDM,5'7,143lbs,
A. Xhemajli,20,58,73,1K,1262,Left,1,3,2,CB,6'3,179lbs,623K
A. Buxton,26,58,61,2K,1570,Right,1,3,2,LB,6'1,179lbs,237K
M. Gillesphey,22,58,65,2K,1434,Left,1,3,2,LB,5'11,154lbs,293K
G. Banaziak,21,58,70,1K,873,Right,1,2,1,GK,6'0,150lbs,396K
A. Singh,25,58,62,0,1065,Right,1,1,1,GK,6'1,179lbs,
D. Sváček,21,58,65,1K,848,Right,1,3,1,GK,6'4,187lbs,312K
D. Sauerland,21,58,67,1K,1639,Right,1,3,3,RB,5'11,159lbs,281K
G. Kelly,21,58,67,1K,1362,Right,1,3,2,ST,6'2,170lbs,350K
Y. Fujita,35,58,58,1K,1194,Right,1,3,2,CB,5'11,168lbs,38K
S. Duke-McKenna,17,58,74,1K,1494,Right,1,3,2,RM,5'7,143lbs,631K
D. Mosquera,22,58,66,1K,1483,Right,1,3,2,CM,6'3,190lbs,279K
K. Majić,20,58,72,3K,1405,Right,1,3,2,ST,5'11,165lbs,679K
A. Al Ghamdi,23,58,64,2K,946,Left,1,2,1,GK,5'10,161lbs,241K
M. Real,18,58,76,1K,1492,Left,1,3,2,LB,5'11,161lbs,489K
F. Schwarzholz,18,58,73,1K,1489,Right,1,3,2,CDM,5'11,165lbs,558K
A. Majrashi,22,58,67,3K,1508,Right,1,2,2,CDM,5'5,128lbs,315K
E. Maceira,22,58,66,3K,1409,Left,1,4,2,LW,5'10,152lbs,456K
Pei Shuai,25,58,61,3K,1599,Left,1,3,2,CM,6'1,174lbs,356K
D. Nizic,23,58,65,1K,1038,Left,1,2,1,GK,6'5,170lbs,189K
F. Al Habib,20,58,72,2K,871,Right,1,2,1,GK,5'11,152lbs,523K
J. Archer,24,58,61,2K,1388,Right,1,3,2,ST,6'3,183lbs,292K
Li Guang,27,58,60,2K,1504,Right,1,3,2,CDM,5'9,163lbs,267K
E. Osadebe,21,58,62,2K,1663,Right,1,3,2,CM,6'2,157lbs,310K
Du Wenyang,28,58,58,2K,1599,Right,1,3,2,RB,6'0,165lbs,215K
B. Singh,31,58,58,0,1420,Right,1,3,2,ST,5'11,157lbs,
E. Granat,22,58,65,1K,1600,Right,1,3,2,CM,5'8,134lbs,261K
V. Cordoba,30,58,58,1K,1545,Right,1,3,2,CDM,5'11,179lbs,122K
L. Schelenz,19,58,70,1K,1448,Left,1,2,2,CDM,6'0,154lbs,330K
A. Morley,18,58,72,1K,1541,Right,1,3,2,CM,6'0,159lbs,618K
M. Nikolić,20,58,65,1K,1496,Left,1,2,2,ST,6'0,161lbs,261K
J. Pestaña,20,58,72,1K,1247,Right,1,3,2,RCB,6'0,154lbs,494K
E. Dick,23,58,65,1K,1022,Right,1,2,1,GK,6'5,205lbs,221K
B. Williams,35,58,58,1K,1123,Right,1,2,1,GK,6'2,190lbs,57K
J. Tilley,20,58,74,4K,1444,Left,1,2,3,CAM,5'7,146lbs,707K
Liu Yingchen,25,58,59,2K,1466,Right,1,2,2,CM,6'1,170lbs,334K
C. Antwi,18,58,71,1K,1572,Left,1,3,3,LWB,5'7,154lbs,375K
J. Albrecht,20,58,65,1K,861,Right,1,2,1,GK,6'4,196lbs,215K
J. Sands,17,58,75,1K,1506,Right,1,3,2,CDM,5'11,161lbs,489K
J. Muñoz,24,58,63,1K,1617,Right,1,3,2,CM,5'6,132lbs,242K
J. Hoekstra,19,58,69,1K,841,Right,1,3,1,GK,6'3,165lbs,281K
K. Niemczycki,18,58,73,1K,854,Right,1,3,1,GK,6'4,185lbs,436K
M. Al Subaie,22,58,66,3K,1520,Right,1,4,2,LM,6'0,150lbs,352K
Park Ji Min,18,58,74,1K,847,Right,1,3,1,GK,6'2,190lbs,394K
H. Al Ghamdi,19,58,74,2K,1597,Right,1,4,2,CM,5'3,130lbs,614K
S. Ucar,19,58,72,1K,1503,Right,1,3,2,CDM,5'9,143lbs,556K
N. Quindt,21,58,66,1K,899,Right,1,2,1,GK,6'0,165lbs,231K
M. Kahrıman,18,58,73,2K,1392,Right,1,3,2,ST,5'9,137lbs,657K
S. Gubari,22,58,70,2K,1474,Right,1,3,2,LM,5'10,148lbs,380K
L. Mulaj,19,58,71,1K,1452,Right,1,3,3,CAM,5'8,143lbs,498K
Z. Herivaux,22,58,69,1K,1533,Right,1,3,2,CM,6'1,150lbs,347K
G. McGregor,19,58,72,3K,1539,Right,1,3,2,CM,5'9,157lbs,682K
T. Campbell,21,58,65,2K,1528,Right,1,3,3,ST,6'1,150lbs,351K
K. Kesgin,17,58,74,2K,1669,Right,1,2,2,CM,5'10,168lbs,656K
M. Staniszewski,21,58,62,1K,896,Right,1,2,1,GK,6'3,176lbs,171K
Y. Fortune,19,58,68,2K,1454,Right,1,3,2,ST,5'10,168lbs,330K
T. Cuello,18,58,79,1K,1463,Right,1,3,2,LM,5'10,141lbs,725K
Pedro Gonçalves,20,58,74,6K,1529,Right,1,3,3,CM,5'8,154lbs,707K
K. Ayong,20,58,67,1K,1375,Right,1,3,2,ST,6'1,176lbs,310K
L. Italiano,27,58,60,1K,946,Left,1,2,1,GK,6'2,183lbs,133K
J. Powell,19,58,73,4K,1573,Left,1,3,3,LM,5'10,150lbs,682K
M. Urynowicz,22,58,64,1K,1412,Right,1,3,2,ST,6'2,172lbs,279K
E. Navarrete,22,58,67,1K,1553,Left,1,2,2,LB,5'7,152lbs,264K
T. Vassell,21,58,64,2K,1501,Right,1,3,2,CB,6'0,154lbs,293K
T. Cordner,19,58,68,3K,1338,Right,1,3,2,CB,5'11,165lbs,357K
G. Tryggvason,18,58,68,1K,1449,Right,1,3,2,RW,6'0,154lbs,276K
C. Higuera,17,58,72,1K,922,Right,1,3,1,GK,6'0,170lbs,465K
M. Onuoha,19,58,68,1K,1463,Right,1,3,2,RB,5'9,159lbs,281K
A. Bacci,22,58,66,1K,855,Right,1,1,1,GK,6'3,194lbs,245K
J. Hodek,20,58,68,1K,1509,Right,1,3,2,CDM,5'10,170lbs,297K
Y. Letard,19,58,71,1K,1313,Right,1,4,2,CB,6'2,190lbs,436K
Han Xuan,27,58,59,2K,1241,Right,1,3,2,CB,6'4,187lbs,267K
R. Isomura,27,58,59,1K,1510,Right,1,3,2,LCM,6'0,161lbs,159K
I. Lara,22,58,64,1K,1486,Left,1,2,2,LM,5'9,165lbs,264K
J. Jaime,20,58,67,1K,871,Right,1,2,1,GK,5'10,152lbs,248K
F. Al Sagour,22,58,67,3K,1510,Right,1,3,2,RB,5'10,132lbs,323K
L. Hernández,20,58,70,1K,1572,Right,1,3,2,CB,6'0,170lbs,380K
N. da Silva,24,58,64,2K,1486,Left,1,4,2,LM,5'7,143lbs,281K
R. Hirosue,19,58,73,1K,925,Right,1,2,1,GK,6'0,181lbs,431K
L. Croll,23,58,63,2K,1369,Left,1,3,2,LCB,6'1,168lbs,256K
T. Baack,19,58,75,1K,1287,Right,1,2,2,CB,5'11,163lbs,556K
K. Bucker,22,58,68,1K,832,Right,1,3,1,GK,6'6,190lbs,264K
M. Miljevic,17,58,78,1K,1531,Right,1,2,2,CDM,5'10,159lbs,564K
M. Brink,20,58,70,1K,1530,Right,1,3,2,CM,5'10,159lbs,334K
A. Bakayoko,20,58,71,4K,1644,Right,1,3,3,RB,5'10,152lbs,
W. Tchuameni,21,58,70,2K,1349,Right,1,3,2,ST,6'4,194lbs,334K
D. İncedere,21,58,71,5K,1466,Left,1,3,3,LM,5'7,137lbs,631K
S. Kjellevold,23,58,65,1K,899,Right,1,2,1,GK,6'1,154lbs,189K
J. Þorsteinsson,19,58,73,4K,1437,Right,1,4,3,LW,5'10,161lbs,
M. Worthington,20,58,70,5K,1592,Right,1,3,2,CM,5'10,159lbs,
J. Tratt,23,58,64,1K,1523,Right,1,2,2,RB,6'3,187lbs,218K
J. Kelly,28,58,58,1K,1489,Left,1,3,2,LM,6'0,161lbs,202K
L. Grill,19,58,76,1K,871,Right,1,3,1,GK,6'3,192lbs,477K
D. Lyon,23,58,67,1K,1547,Right,1,2,2,RWB,6'1,168lbs,332K
F. Pizzicanella,22,58,66,1K,886,Right,1,2,1,GK,6'0,185lbs,238K
J. Pantemis,21,58,68,1K,893,Right,1,2,1,GK,6'2,174lbs,272K
R. Wilmots,21,58,68,1K,1580,Right,1,3,2,CM,6'2,168lbs,350K
E. Boyle,21,58,70,1K,1509,Right,1,2,2,RB,5'11,183lbs,350K
M. Sprang,17,58,67,1K,829,Right,1,3,1,GK,6'4,174lbs,198K
R. Acquah,21,58,67,1K,1494,Right,1,3,2,CDM,6'0,176lbs,281K
M. Wada,21,58,67,1K,1392,Right,1,3,2,ST,5'10,163lbs,290K
A. Canessa,18,58,73,1K,1335,Right,1,3,2,ST,6'1,176lbs,566K
R. Cagnon,21,58,71,3K,869,Right,1,1,1,GK,6'3,179lbs,505K
M. Roerslev,19,58,75,1K,1571,Right,1,3,3,RB,5'11,148lbs,462K
A. Azeez,24,58,62,2K,1456,Right,1,3,2,ST,6'0,176lbs,310K
M. Holzer,19,58,69,1K,1400,Right,1,4,2,ST,6'1,170lbs,347K
L. Travis,20,58,72,4K,1570,Right,1,3,2,CM,5'9,154lbs,707K
Mario Sánchez,22,58,66,1K,1470,Right,1,3,2,RB,5'11,165lbs,288K
Valery,18,58,75,2K,1427,Right,1,3,3,LM,5'11,165lbs,709K
R. Al Ghamdi,24,58,65,2K,1509,Right,1,3,2,RS,5'10,152lbs,333K
C. Gutiérrez,19,58,73,1K,1480,Right,1,3,2,RM,5'10,148lbs,628K
D. Webster,28,58,59,1K,1371,Right,1,3,2,CB,6'4,172lbs,195K
Kim Hyo Gi,31,58,58,1K,1337,Right,1,2,3,ST,5'10,165lbs,138K
J. Inamoto,38,58,58,1K,1613,Right,1,3,2,CDM,5'11,170lbs,25K
J. McDonnell,24,58,66,1K,877,Right,1,2,1,GK,5'10,139lbs,273K
W. Ali,19,58,73,1K,1396,Right,1,3,3,ST,6'1,172lbs,525K
A. Jakobsen,19,58,72,1K,1420,Right,1,2,2,ST,6'0,165lbs,525K
L. Bonilla,20,58,66,1K,1437,Right,1,3,2,RM,5'9,150lbs,295K
T. Duman,20,58,70,3K,1558,Right,1,3,2,CM,5'10,165lbs,460K
M. Woud,19,58,73,1K,852,Right,1,2,1,GK,6'5,187lbs,477K
J. Löwe,19,58,74,1K,1539,Right,1,3,2,CAM,5'6,143lbs,601K
B. Rivas,21,58,72,1K,1542,Right,1,3,2,CM,5'9,154lbs,553K
S. Cartwright,17,58,70,1K,1336,Right,1,2,2,CB,6'1,165lbs,332K
A. Ademoglu,20,58,75,2K,1562,Right,1,4,2,CM,5'11,159lbs,735K
